100, 57.729050060647104
200, 54.453250050664494
300, 52.33740004988442
400, 49.98450005057068
500, 46.29510005194924
600, 42.796000054851355
700, 40.3380500600756
800, 38.59400007023707
900, 36.43305009471211
1000, 34.254500157032325
1100, 32.88445024133987
1200, 31.2619502831416
1300, 29.586650283744376
1400, 28.476200266815578
1500, 27.1903002779761
1600, 25.361800318740073
1700, 24.332200331197345
1800, 23.341100328909484
1900, 22.487500330820204
2000, 21.805450347789364
2100, 20.462900430552672
2200, 19.606550432539755
2300, 18.706750441567927
2400, 18.055000440070543
2500, 17.09045062018841
2600, 16.666950672564205
2700, 15.847150712601984
2800, 15.03905071151137
2900, 14.462701161434333
3000, 13.838651134787167
3100, 13.69060113271259
3200, 13.233701239153458
3300, 12.719901362070662
3400, 12.618050813557494
3500, 12.38980095656888
3600, 12.083500955942922
3700, 11.506101160886846
3800, 11.271151188918399
3900, 11.065901186784066
4000, 10.691401609038978
4100, 10.487051608180794
4200, 10.487051607407611
4300, 10.395751611222176
4400, 10.352251619099144
4500, 10.2593516425861
4600, 10.147751642034978
4700, 10.102951641507937
4800, 10.004701641177268
4900, 9.839856194374827
5000, 9.839856193496555
5100, 9.42020640239856
5200, 9.420206401512917
5300, 9.305806400654566
5400, 9.243106399856618
5500, 9.151406399057914
5600, 8.659408709692668
5700, 8.53730871060599
5800, 8.537308711444847
5900, 8.337408711943473
6000, 8.223408712570302

